"Store_ID","Store_Name","Store_City","Store_Location","Total_SKUs","Replenishment_Risk_SKUs","Overstock_Risk_SKUs"
71,Neighborhood Toy Co. Rochester 1,"Rochester, NY",Downtown,117,0,3
81,Bluebird Toys Salt Lake City 1,"Salt Lake City, UT",Mall,131,0,3
95,Happy Hippo Toys Durham 1,"Durham, NC",Downtown,130,0,3
102,Board Game Barn Iowa City 1,"Iowa City, IA",Airport,113,0,3
111,Maple Street Toys Indianapolis 1,"Indianapolis, IN",Mall,105,0,3
118,Giggles & Gadgets St. Louis 1,"St. Louis, MO",Mall,101,0,3
3,Wonderland Toys Orlando 1,"Orlando, FL",Mall,100,0,2
9,Space Ranger Toys Nashville 1,"Nashville, TN",Downtown,105,0,2
23,Wonderland Toys Irvine 1,"Irvine, CA",Downtown,127,0,2
27,Giggles & Gadgets Gilbert 1,"Gilbert, AZ",Commercial,119,0,2
56,Board Game Barn Oklahoma City 1,"Oklahoma City, OK",Mall,110,0,2
61,Rainbow Toy Market Baltimore 1,"Baltimore, MD",Downtown,101,0,2
69,Bluebird Toys Amarillo 1,"Amarillo, TX",Mall,116,0,2
72,Playtime Emporium Boston 1,"Boston, MA",Airport,118,0,2
73,Rainbow Toy Market Tampa 1,"Tampa, FL",Downtown,130,0,2
80,Spark & Play El Paso 1,"El Paso, TX",Commercial,135,0,2
109,Wonderland Toys Lincoln 1,"Lincoln, NE",Mall,116,0,2
117,Mountain Trail Toys Richmond 1,"Richmond, VA",Suburban,113,0,2
4,Spark & Play St. Paul 1,"St. Paul, MN",Downtown,123,0,1
8,Neighborhood Toy Co. Santa Rosa 1,"Santa Rosa, CA",Suburban,120,0,1
19,Bluebird Toys Gainesville 1,"Gainesville, FL",Residential,100,0,1
32,Rainbow Toy Market Tallahassee 1,"Tallahassee, FL",Suburban,103,0,1
43,Creative Play Toys Irving 1,"Irving, TX",Commercial,135,0,1
44,Classic Toy Chest Corpus Christi 1,"Corpus Christi, TX",Mall,99,0,1
49,Wonderland Toys Eugene 1,"Eugene, OR",Commercial,110,0,1
52,Toy Galaxy Madison 1,"Madison, WI",Commercial,112,0,1
63,Dinosaur Dreams Toys Moreno Valley 1,"Moreno Valley, CA",Suburban,117,0,1
78,Giggles & Gadgets San Jose 1,"San Jose, CA",Airport,127,0,1
82,Toy Haven Albuquerque 1,"Albuquerque, NM",Commercial,119,0,1
87,City Lights Toys Springfield 1,"Springfield, MO",Residential,131,0,1
89,Spark & Play Omaha 1,"Omaha, NE",Residential,116,0,1
103,Toy Haven Akron 1,"Akron, OH",Downtown,127,0,1
105,Wonderland Toys Santa Clarita 1,"Santa Clarita, CA",Mall,118,0,1
2,Puzzle Planet San Antonio 1,"San Antonio, TX",Commercial,109,0,0
13,Space Ranger Toys Detroit 1,"Detroit, MI",Mall,100,0,0
15,Bluebird Toys Lexington 1,"Lexington, KY",Downtown,132,0,0
16,Rocketship Toys Chattanooga 1,"Chattanooga, TN",Mall,131,0,0
20,Mini Makers Oxnard 1,"Oxnard, CA",Commercial,108,0,0
22,City Lights Toys Aurora 1,"Aurora, IL",Mall,111,0,0
29,Mini Makers Miami 1,"Miami, FL",Commercial,101,0,0
30,Bluebird Toys Naperville 1,"Naperville, IL",Residential,103,0,0
35,Playtime Emporium Fort Worth 1,"Fort Worth, TX",Commercial,133,0,0
39,Wonderland Toys Jersey City 1,"Jersey City, NJ",Mall,100,0,0
47,Neighborhood Toy Co. Worcester 1,"Worcester, MA",Mall,106,0,0
55,Board Game Barn Toledo 1,"Toledo, OH",Downtown,116,0,0
57,Bluebird Toys Norfolk 1,"Norfolk, VA",Mall,104,0,0
74,Creative Play Toys Huntsville 1,"Huntsville, AL",Downtown,105,0,0
75,Wonderland Toys Newport News 1,"Newport News, VA",Residential,116,0,0
79,Storybook Toys Grand Rapids 1,"Grand Rapids, MI",Commercial,122,0,0
86,Maple Street Toys Des Moines 1,"Des Moines, IA",Commercial,123,0,0
88,Mini Makers Syracuse 1,"Syracuse, NY",Suburban,102,0,0
104,Dinosaur Dreams Toys Columbus 1,"Columbus, OH",Suburban,114,0,0
107,Wonderland Toys Portland 1,"Portland, OR",Commercial,112,0,0
108,Bluebird Toys Fort Lauderdale 1,"Fort Lauderdale, FL",Mall,120,0,0
112,Neighborhood Toy Co. Cincinnati 1,"Cincinnati, OH",Commercial,108,0,0
114,Neighborhood Toy Co. Garland 1,"Garland, TX",Downtown,106,0,0
120,Dinosaur Dreams Toys Aurora 1,"Aurora, CO",Downtown,107,0,0
